Tilemap	PatternSize	NumberOfPatterns	EnableRotation	EnableReflection	NumberOfTests	OutputSize	AverageTrainingTime	AverageGenerationTime
Rooms	3	95	False	False	5	(5, 5, 5)	0.002	0.038	
Rooms	3	183	False	True	5	(5, 5, 5)	0.009	0.086	
Rooms	3	242	True	False	5	(5, 5, 5)	0.019	0.141	
Rooms	3	476	True	True	5	(5, 5, 5)	0.075	0.465	

Rooms	3	95	False	False	5	(10, 10, 10)	0.002	0.399	
Rooms	3	183	False	True	5	(10, 10, 10)	0.005	1.005	
Rooms	3	242	True	False	5	(10, 10, 10)	0.016	1.499	
Rooms	3	476	True	True	5	(10, 10, 10)	0.075	4.492	

Rooms	3	95	False	False	5	(11, 11, 11)	0.003	0.564	
Rooms	3	183	False	True	5	(11, 11, 11)	0.011	1.387	
Rooms	3	242	True	False	5	(11, 11, 11)	0.017	2.102	
Rooms	3	476	True	True	5	(11, 11, 11)	0.075	6.082	

Rooms	3	95	False	False	5	(12, 12, 12)	0.002	0.757	
Rooms	3	183	False	True	5	(12, 12, 12)	0.009	1.863	
Rooms	3	242	True	False	5	(12, 12, 12)	0.017	2.718	
Rooms	3	476	True	True	5	(12, 12, 12)	0.074	7.919	

Rooms	3	95	False	False	5	(13, 13, 13)	0.003	0.975	
Rooms	3	183	False	True	5	(13, 13, 13)	0.009	2.472	
Rooms	3	242	True	False	5	(13, 13, 13)	0.015	3.499	
Rooms	3	476	True	True	5	(13, 13, 13)	0.073	10.17	

Rooms	3	95	False	False	5	(14, 14, 14)	0.002	1.287	
Rooms	3	183	False	True	5	(14, 14, 14)	0.008	3.129	
Rooms	3	242	True	False	5	(14, 14, 14)	0.013	4.42	
Rooms	3	476	True	True	5	(14, 14, 14)	0.065	12.778	

Rooms	3	95	False	False	5	(15, 15, 15)	0.002	1.613	
Rooms	3	183	False	True	5	(15, 15, 15)	0.006	3.945	
Rooms	3	242	True	False	5	(15, 15, 15)	0.017	5.533	
Rooms	3	476	True	True	5	(15, 15, 15)	0.071	15.674	

Rooms	3	95	False	False	5	(20, 20, 20)	0.006	4.21	
Rooms	3	183	False	True	5	(20, 20, 20)	0.008	9.935	
Rooms	3	242	True	False	5	(20, 20, 20)	0.015	13.471	
Rooms	3	476	True	True	5	(20, 20, 20)	0.061	37.788	

Rooms	3	95	False	False	5	(25, 25, 25)	0.01	10.073	
Rooms	3	183	False	True	5	(25, 25, 25)	0.005	23.497	
Rooms	3	242	True	False	5	(25, 25, 25)	0.02	30.808	
Rooms	3	476	True	True	5	(25, 25, 25)	0.069	80.663	
